species,commonname,family,familycommon,nectarpollen
Columba vitiensis,White-throated Pigeon,Columbidae,Pigeons and Doves,NA
Hemiphaga novaeseelandiae,New Zealand Pigeon,Columbidae,Pigeons and Doves,NA
Nestor productus,Norfolk Island Kaka,Strigopidae,Kakas and Keas,NA
Polytelis alexandrae,Princess Parrot,Psittaculidae,"Parrots, Lorikeets and Rosellas",1
Psephotus pulcherrimus,Paradise Parrot,Psittaculidae,"Parrots, Lorikeets and Rosellas",NA
Platycercus venustus,Northern Rosella,Psittaculidae,"Parrots, Lorikeets and Rosellas",1
Lathamus discolor,Swift Parrot,Psittaculidae,"Parrots, Lorikeets and Rosellas",1
Glossopsitta concinna,Musk Lorikeet,Psittaculidae,"Parrots, Lorikeets and Rosellas",1
Glossopsitta pusilla,Little Lorikeet,Psittaculidae,"Parrots, Lorikeets and Rosellas",1
Glossopsitta porphyrocephala,Purple-crowned Lorikeet,Psittaculidae,"Parrots, Lorikeets and Rosellas",1
Psitteuteles versicolor,Varied Lorikeet,Psittaculidae,"Parrots, Lorikeets and Rosellas",1
Trichoglossus haematodus,Coconut Lorikeet,Psittaculidae,"Parrots, Lorikeets and Rosellas",1
Trichoglossus moluccanus,Rainbow Lorikeet,Psittaculidae,"Parrots, Lorikeets and Rosellas",1
Trichoglossus rubitorquis,Red-collared Lorikeet,Psittaculidae,"Parrots, Lorikeets and Rosellas",1
Trichoglossus chlorolepidotus,Scaly-breasted Lorikeet,Psittaculidae,"Parrots, Lorikeets and Rosellas",1
Sericulus chrysocephalus,Regent Bowerbird,Ptilonorhynchidae,Bowerbirds and Catbirds,1
Ptilonorhynchus violaceus,Satin Bowerbird,Ptilonorhynchidae,Bowerbirds and Catbirds,1
Climacteris picumnus,Brown Treecreeper,Climacteridae,Treecreepers,1
Amytornis merrotsyi,Short-tailed Grasswren,Maluridae,"Fairy-wrens, Emu-wrens and Grasswrens",NA
Sugomel niger,Black Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Myzomela obscura,Dusky Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Myzomela erythrocephala,Red-headed Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Myzomela sanguinolenta,Scarlet Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Grantiella picta,Painted Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Plectorhyncha lanceolata,Striped Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Xanthotis macleayana,Macleay's Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Xanthotis flaviventer,Tawny-breasted Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Philemon buceroides,Helmeted Friarbird,Meliphagidae,Honeyeaters and Chats,1
Philemon argenticeps,Silver-crowned Friarbird,Meliphagidae,Honeyeaters and Chats,1
Philemon corniculatus,Noisy Friarbird,Meliphagidae,Honeyeaters and Chats,1
Philemon citreogularis,Little Friarbird,Meliphagidae,Honeyeaters and Chats,1
Cissomela pectoralis,Banded Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Lichmera indistincta,Brown Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Trichodere cockerelli,White-streaked Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Phylidonyris pyrrhopterus,Crescent Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Phylidonyris novaehollandiae,New Holland Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Phylidonyris niger,White-cheeked Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Lichenostomus leucotis,White-eared Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Lichenostomus flavicollis,Yellow-throated Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Entomyzon cyanotis,Blue-faced Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Melithreptus gularis,Black-chinned Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Melithreptus validirostris,Strong-billed Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Melithreptus brevirostris,Brown-headed Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Melithreptus albogularis,White-throated Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Melithreptus lunatus,White-naped Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Melithreptus affinis,Black-headed Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Gliciphila melanops,Tawny-crowned Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Glycichaera fallax,Green-backed Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Acanthorhynchus tenuirostris,Eastern Spinebill,Meliphagidae,Honeyeaters and Chats,1
Acanthorhynchus superciliosus,Wet Tropics Eastern Spinebill,Meliphagidae,Honeyeaters and Chats,NA
Certhionyx variegatus,Pied Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Conopophila albogularis,Rufous-banded Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Conopophila rufogularis,Rufous-throated Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Conopophila whitei,Grey Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Ramsayornis modestus,Brown-backed Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Ramsayornis fasciatus,Bar-breasted Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Epthianura tricolor,Crimson Chat,Meliphagidae,Honeyeaters and Chats,1
Lichenostomus unicolor,White-gaped Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Lichenostomus flavus,Yellow Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Meliphaga lewinii,Lewin's Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Meliphaga notata,Yellow-spotted Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Microptilotis gracilis,Graceful Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Microptilotis albilineatus,White-lined Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Acanthagenys rufogularis,Spiny-cheeked Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Anthochaera lunulata,Western Wattlebird,Meliphagidae,Honeyeaters and Chats,1
Anthochaera chrysoptera,Little Wattlebird,Meliphagidae,Honeyeaters and Chats,1
Anthochaera phrygia,Regent Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Anthochaera carunculata,Red Wattlebird,Meliphagidae,Honeyeaters and Chats,1
Anthochaera paradoxa,Yellow Wattlebird,Meliphagidae,Honeyeaters and Chats,1
Lichenostomus frenatus,Bridled Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Lichenostomus hindwoodi,Eungella Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Lichenostomus virescens,Singing Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Lichenostomus versicolor,Varied Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Lichenostomus fasciogularis,Mangrove Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Lichenostomus keartlandi,Grey-headed Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Lichenostomus ornatus,Yellow-plumed Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Lichenostomus plumulus,Grey-fronted Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Lichenostomus fuscus,Fuscous Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Lichenostomus flavescens,Yellow-tinted Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Lichenostomus penicillatus,White-plumed Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Purnella albifrons,White-fronted Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Lichenostomus chrysops,Yellow-faced Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Lichenostomus melanops,Yellow-tufted Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Lichenostomus cratitius,Purple-gaped Honeyeater,Meliphagidae,Honeyeaters and Chats,1
Manorina melanophrys,Bell Miner,Meliphagidae,Honeyeaters and Chats,1
Manorina melanocephala,Noisy Miner,Meliphagidae,Honeyeaters and Chats,1
Manorina melanotis,Black-eared Miner,Meliphagidae,Honeyeaters and Chats,1
Manorina flavigula,Yellow-throated Miner,Meliphagidae,Honeyeaters and Chats,1
Lalage tricolor,White-winged Triller,Campephagidae,Cuckoo-shrikes and Trillers,1
Lalage leucopyga,Long-tailed Triller,Campephagidae,Cuckoo-shrikes and Trillers,NA
Artamus personatus,Masked Woodswallow,Artamidae,"Woodswallows, Currawongs, Butcherbirds and Magpie",1
Artamus superciliosus,White-browed Woodswallow,Artamidae,"Woodswallows, Currawongs, Butcherbirds and Magpie",1
Artamus cinereus,Black-faced Woodswallow,Artamidae,"Woodswallows, Currawongs, Butcherbirds and Magpie",1
Artamus minor,Little Woodswallow,Artamidae,"Woodswallows, Currawongs, Butcherbirds and Magpie",1
Dicrurus bracteatus,Spangled Drongo,Dicruridae,Drongos,1
Nectarinia jugularis,Olive-backed Sunbird,Nectariniidae,Sunbirds,1
Zosterops luteus,Yellow White-eye,Zosteropidae,True Babblers,1
Zosterops tenuirostris,Slender-billed White-eye,Zosteropidae,True Babblers,1
Zosterops strenuus,Robust White-eye,Zosteropidae,True Babblers,NA
Aplonis fusca,Tasman Starling,Sturnidae,Starlings,NA
Gallicolumba norfolciensis,Norfolk Island Ground-Dove,Columbidae,Pigeons and Doves,NA
Psittacula krameri,Ring-necked Parakeet,Psittacidae,"Parrots, Lorikeets and Rosellas",NA
Acanthorhynchus superciliosus,NA,Meliphagidae,NA,1
Bolemoreus hindwoodi,NA,Meliphagidae,NA,1
Bolemoreus frenatus,NA,Meliphagidae,NA,1
Caligavis chrysops,NA,Meliphagidae,NA,1
Gavicalis virescens,NA,Meliphagidae,NA,1
Gavicalis fasciogularis,NA,Meliphagidae,NA,1
Gavicalis versicolor,NA,Meliphagidae,NA,1
Nesoptilotis flavicollis,NA,Meliphagidae,NA,1
Nesoptilotis leucotis,NA,Meliphagidae,NA,1
Ptilotula plumula,NA,Meliphagidae,NA,1
Ptilotula penicillata,NA,Meliphagidae,NA,1
Ptilotula ornata,NA,Meliphagidae,NA,1
Ptilotula keartlandi,NA,Meliphagidae,NA,1
Ptilotula fusca,NA,Meliphagidae,NA,1
Ptilotula flavescens,NA,Meliphagidae,NA,1
Stomiopera unicolor,NA,Meliphagidae,NA,1
Stomiopera flava,NA,Meliphagidae,NA,1
Sugomel nigrum,NA,Meliphagidae,NA,1
Xanthotis macleayanus,NA,Meliphagidae,NA,1
Cyclopsitta diophthalma,NA,Psittacidae,NA,1
Glossopsitta concinna,NA,Psittacidae,NA,1
Parvipsitta porphyrocephala,NA,Psittacidae,NA,1
Parvipsitta pusilla,NA,Psittacidae,NA,1
Psitteuteles versicolor,NA,Psittacidae,NA,1
Trichoglossus haematodus,NA,Psittacidae,NA,1
Trichoglossus chlorolepidotus,NA,Psittacidae,NA,1
Zosterops natalis,NA,Zosteropidae,NA,1
Zosterops lateralis,NA,Zosteropidae,NA,1
Cinnyris jugularis,NA,Nectarinidae,NA,NA
