model,R2_lik,R2_resid,R2_pred,BIC,AIC,nobs
leafarea_abiotic,0.2548585779174085,0.2548585779174084,0.2548585779174083,1519.4106711741726,1496.0758872120266,786
budsize_abiotic,0.14415573695362915,0.14415573695362893,0.14415573695362882,2062.1055835061893,2038.8091139077712,780
budsize_biotic,0.1639691459601429,0.16396914596014256,0.16396914596014234,2037.1764238845954,2018.5392482058608,780
budsize_full,0.1807137828641583,0.1807137828641584,0.1807137828641583,2041.3733262408084,2008.758268803023,780
flcolour_abiotic,0.0761166464290165,0.0924733941500938,0.06380085181857076,526.4957932246317,507.86888712791813,778
flcolour_biotic,0.08892950913823838,0.07040217131345483,0.07880670896588382,508.9738678459638,495.0036882734286,778
flcolour_full,0.09917495983685198,0.09456355937696692,0.0848492345810612,520.1454765705237,492.20511742545335,778
budsize_abiotic_PGLS,-0.625780312750247,-23.062956502962287,0.32782408320207657,2188.3374039472674,2165.8084836466264,669
budsize_biot_PGLS,-0.6023010272814182,-22.71544274570605,0.3378174589950522,2172.0995733077884,2154.0764370672755,669
budsize_PGLS,-0.5736134582432142,-22.29084188141444,0.3380765872828263,2179.5306393031055,2147.990150882208,669
